c1,c2,epoche,layer,accuracy,f1-score,task,model,random
,31,80000,3,0.8197035745422843,0.5804053644804688,Person,t5,FALSE
,32,80000,4,0.8210985178727114,0.5763579619023044,Person,t5,FALSE
,33,80000,5,0.8198779424585876,0.5737351419021689,Person,t5,FALSE
,34,80000,6,0.8172624237140366,0.5543385089943795,Person,t5,FALSE
,35,0,1,0.8235396687009591,0.2413793103448276,Person,t5,FALSE
,36,0,2,0.8212728857890148,0.23105776444111026,Person,t5,FALSE
,37,0,3,0.8190061028770707,0.21482602118003027,Person,t5,FALSE
,38,0,4,0.8188317349607672,0.20626432391138275,Person,t5,FALSE
,39,0,5,0.8191804707933741,0.19425019425019427,Person,t5,FALSE
,40,0,6,0.8188317349607672,0.1876465989053948,Person,t5,FALSE
,41,100000,0,0.8254577157802965,0.30146545708304257,Person,t5,FALSE
,42,100000,1,0.8245858761987794,0.28551136363636365,Person,t5,FALSE
,43,100000,2,0.8228421970357455,0.2855133614627285,Person,t5,FALSE
,44,100000,3,0.8190061028770707,0.26068376068376065,Person,t5,FALSE
,45,100000,4,0.8209241499564081,0.2648532569792412,Person,t5,FALSE
,46,100000,5,0.8167393199651264,0.23452294246176256,Person,t5,FALSE
,47,100000,6,0.8184829991281605,0.22486969471332835,Person,t5,FALSE
,48,200000,0,0.8242371403661726,0.28913963328631875,Person,t5,FALSE
,49,200000,1,0.8282476024411508,0.3048694424841214,Person,t5,FALSE
,50,200000,2,0.8224934612031386,0.2718168812589414,Person,t5,FALSE
,51,200000,3,0.8256320836965998,0.2774566473988439,Person,t5,FALSE
,52,200000,4,0.8223190932868352,0.2534798534798535,Person,t5,FALSE
,53,200000,5,0.8233653007846556,0.2632727272727273,Person,t5,FALSE
,54,200000,6,0.8181342632955536,0.2233804914370812,Person,t5,FALSE
,55,300000,0,0.8240627724498693,0.2968641114982579,Person,t5,FALSE
,56,300000,1,0.8280732345248474,0.32,Person,t5,FALSE
,57,300000,2,0.8240627724498693,0.2997918112421929,Person,t5,FALSE
,58,300000,3,0.8231909328683522,0.2838983050847458,Person,t5,FALSE
,59,300000,4,0.8188317349607672,0.2465554749818709,Person,t5,FALSE
,60,300000,5,0.8197035745422843,0.2582496413199426,Person,t5,FALSE
,61,300000,6,0.8186573670444638,0.2517985611510791,Person,t5,FALSE
,62,400000,0,0.8277244986922406,0.3071528751753156,Person,t5,FALSE
,63,400000,1,0.8275501307759372,0.29808374733853804,Person,t5,FALSE
,64,400000,2,0.8209241499564081,0.28332170272156315,Person,t5,FALSE
,65,400000,3,0.8184829991281605,0.2694736842105263,Person,t5,FALSE
,66,400000,4,0.8210985178727114,0.2618705035971223,Person,t5,FALSE
,67,400000,5,0.8212728857890148,0.2631200575125809,Person,t5,FALSE
,68,400000,6,0.8172624237140366,0.2372634643377001,Person,t5,FALSE
,69,500000,0,0.8233653007846556,0.3094751192910702,Person,t5,FALSE
,70,500000,1,0.8233653007846556,0.2960389159138291,Person,t5,FALSE
,71,500000,2,0.8272013949433304,0.31418685121107265,Person,t5,FALSE
,72,500000,3,0.8238884045335658,0.30055401662049863,Person,t5,FALSE
,73,500000,4,0.8231909328683522,0.2798295454545455,Person,t5,FALSE
,74,500000,5,0.8209241499564081,0.26799714896650034,Person,t5,FALSE
,75,500000,6,0.8177855274629469,0.2344322344322345,Person,t5,FALSE
,76,600000,0,0.8265039232781168,0.31708991077556625,Person,t5,FALSE
,77,600000,1,0.8252833478639929,0.3080110497237569,Person,t5,FALSE
,78,600000,2,0.8237140366172624,0.31457627118644066,Person,t5,FALSE
,79,600000,3,0.8226678291194419,0.2971665514858328,Person,t5,FALSE
,80,600000,4,0.8205754141238012,0.2717622080679405,Person,t5,FALSE
,81,600000,5,0.820052310374891,0.2618025751072961,Person,t5,FALSE
,82,600000,6,0.8179598953792502,0.2357247437774524,Person,t5,FALSE
,83,700000,0,0.8263295553618134,0.3131034482758621,Person,t5,FALSE
,84,700000,1,0.8252833478639929,0.3146374829001368,Person,t5,FALSE
,85,700000,2,0.8284219703574542,0.3269493844049247,Person,t5,FALSE
,86,700000,3,0.8268526591107236,0.2992237120677488,Person,t5,FALSE
,87,700000,4,0.8228421970357455,0.27011494252873564,Person,t5,FALSE
,88,700000,5,0.8216216216216217,0.2624369142033165,Person,t5,FALSE
,89,700000,6,0.8151700087183958,0.22173274596182085,Person,t5,FALSE
,90,800000,0,0.8272013949433304,0.32447171097477845,Person,t5,FALSE
,91,800000,1,0.8252833478639929,0.3192934782608696,Person,t5,FALSE
,92,800000,2,0.8252833478639929,0.3165075034106412,Person,t5,FALSE
,93,800000,3,0.8235396687009591,0.3020689655172414,Person,t5,FALSE
,94,800000,4,0.8231909328683522,0.2798295454545455,Person,t5,FALSE
,95,800000,5,0.8214472537053182,0.26857142857142857,Person,t5,FALSE
,96,800000,6,0.8193548387096774,0.2404692082111437,Person,t5,FALSE
,97,900000,0,0.8256320836965998,0.312242090784044,Person,t5,FALSE
,98,900000,1,0.8228421970357455,0.3031550068587105,Person,t5,FALSE
,99,900000,2,0.8245858761987794,0.3090659340659341,Person,t5,FALSE
,100,900000,3,0.827027027027027,0.3062937062937063,Person,t5,FALSE
,101,900000,4,0.8212728857890148,0.2673338098641887,Person,t5,FALSE
,102,900000,5,0.821795989537925,0.2782485875706215,Person,t5,FALSE
,103,900000,6,0.8144725370531822,0.21994134897360704,Person,t5,FALSE
,104,1000000,0,0.8278988666085441,0.32719836400818,Person,t5,FALSE
